,titles,companies,locations,reviews,noofreviews,descriptions,salaries
161,ML Engineer,Boston Consulting Group,"Bengaluru, Karnataka",4.2 out of 5 stars,452 reviews,"Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we work closely with clients to embrace a transformational approach aimed at benefiting all stakeholders—empowering organizations to grow, build sustainable competitive advantage, and drive positive societal impact.

Our diverse, global teams bring deep industry and functional expertise and a range of perspectives that question the status quo and spark change. BCG delivers solutions through leading-edge management consulting, technology and design, and corporate and digital ventures. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, fueled by the goal of helping our clients thrive and enabling them to make the world a better place.

BCG X taps into end-to-end tech design & build capabilities, with nearly 3000 experts, delivering solutions that are industrial-grade to sustain deep change across global companies, and partners actively with the digital ecosystem. BCG X solutions & software are tech-agnostic. BCG X is a force multiplier for BCG functional/sector expertise to build and scale disruptive high-impact software-enabled business solutions.

Practice Area Profile

What You'll Do

Build technology stack for AI/ML use cases from concept to production deployment.
Build data pipelines, ingestion of structured & structured data for model training.
Create Generative AI pipelines & technology stack e.g., orchestration, prompt engineering,fine tuning etc.
Deploy AI/ML models into production and build API layer for application integration.

What You'll Bring (Experience & Qualifications)

Very high proficiency in Python programming language, knowledge of other languages.
such as R, Java would be a plus.
Knowledge of various AI/ML models including deep learning models.
Knowledge of Generative AI stack – Large Language Models / Foundation Models, vector databases, orchestration stack.
Hand on experience in building AI orchestration with frameworks like LangChain.
Knowledge of vector databases e.g., Pinecone, Chroma etc.
Deep understanding of data processing frameworks e.g., Data Bricks, Airflow etc.
Knowledge of API frameworks Django, Flask etc.
Understanding of cloud data & AI stack on AWS / Azure / GCP is preferred.",None
162,"Professor in computer Science and Engineering, MCA, AIML,Data science",Rajamahendri Institute of Engineering and...,"Rajahmundry, Andhra Pradesh",None,None,"RAJAMAHENDRI INSTITUTE OF ENGINEERING & TECHNOLOGY is Conducting WALK-IN INTERVIEWS for the post of Assistant Professors for the department of ECE/CSE/AIML/ CSD/MCA MATHEMATICS/PHYSICS/ENGLISH/CHEMISTRY/ SOFTSKILLS TRAINER/MCA/LIBRAIAN/ LAB TECH
and
Associate Professors/Professors for the Departments of
CSE/AIML/CSD/ECE/ S&H/MCA
The Qualifications required & Salary will be as per AICTE norms Salary will not be a constraint for deserving candidates. Interested candidates can attend the interviews on 22-04-2023, 10:00 AM at our College of Engineering, Rajahmundry.
Candidates unable to attend for walk-in can send your resume to
office@rietrjy.co.in
Job Types: Full-time, Permanent
Salary: From ₹710,000.00 per year
Supplemental pay types:
Yearly bonus
Education:
Master's (Preferred)
Experience:
Teaching: 1 year (Preferred)
Making lesson Plans: 1 year (Preferred)
total work: 1 year (Preferred)
Language:
English (Preferred)
Ability to Commute:
Rajahmundry, Andhra Pradesh (Required)
Ability to Relocate:
Rajahmundry, Andhra Pradesh: Relocate before starting work (Required)
Work Location: In person
Speak with the employer
+91 9866108738","From ₹7,10,000 a year"
163,Senior Associate Data Engineering L1_DS-AI & Machine Learning,Publicis Groupe,"Pune, Maharashtra",3.9 out of 5 stars,"1,159 reviews","Company Description

Company Description

Job Description

Job Description

Qualifications

Qualifications Description

Additional Information

Additional Information Description",None
164,Natural Language Processing Engineer,WebDexon,"Mohali, Punjab",None,None,"Job Title: Senior NLP Engineer
Summary:Seeking a Senior NLP Engineer with 4+ years of experience to lead the development and optimization of advanced NLP algorithms. Utilize expertise in parsing, Named Entity Recognition (NER), and classification. Collaborate with cross-functional teams for seamless integration of innovative solutions.
Responsibilities:
Design and implement cutting-edge NLP algorithms using tools such as spaCy, NLTK, or Stanford NLP.
Optimize existing models for enhanced performance using tools like TensorFlow or PyTorch.
Process large datasets, engineer features, and employ tools like Scikit-learn for classification tasks.
Collaborate with diverse teams for the successful integration of NLP solutions into products.
Stay updated on the latest advancements in NLP, incorporating tools like Hugging Face Transformers.
Qualifications:
Bachelor’s/Master’s in CS or related field.
4+ years of hands-on experience in NLP.
Proficient in programming languages (Python, Java) and experience with relevant NLP tools.
Strong background in parsing, NER, and classification techniques.
Familiarity with TensorFlow, PyTorch, Scikit-learn, spaCy, NLTK, and Hugging Face Transformers.
Job Types: Full-time, Permanent
Salary: ₹500,000.00 - ₹1,200,000.00 per year
Benefits:
Flexible schedule
Paid sick time
Schedule:
Day shift
Monday to Friday
Morning shift
Supplemental pay types:
Overtime pay
Performance bonus
Experience:
total work: 4 years (Required)
NLP: 4 years (Required)
Python: 4 years (Required)
ML: 4 years (Preferred)
Knowledge Graph: 4 years (Preferred)
Ability to Relocate:
Mohali Khurd, Madhya Pradesh: Relocate before starting work (Required)
Work Location: In person
Speak with the employer
+91 8950749333","₹5,00,000 - ₹12,00,000 a year"
165,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
166,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
167,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
168,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
169,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
170,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
171,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
172,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
173,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
174,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
175,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
176,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
177,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
178,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
179,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
180,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
181,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
182,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
183,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
184,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
185,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
186,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
187,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
188,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
189,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
190,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
191,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
192,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
193,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
194,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
195,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
196,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
197,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
198,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
199,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
200,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
201,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
202,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
203,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
204,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
205,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
206,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
207,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
208,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
209,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
210,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
211,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
212,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
213,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
214,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
215,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
216,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
217,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
218,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
219,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
220,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
221,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
222,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
223,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
224,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
225,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
226,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
227,Robotics and A.I. Trainer,Prag Robotics Private Limited,"Thanjavur, Tamil Nadu",None,None,None,"₹15,000 - ₹25,000 a month"
228,Data Scientist - AI/ML,Philips,"Bengaluru, Karnataka",None,None,None,None
229,Sr Analyst Data Science,Empower,"Bengaluru, Karnataka",None,None,None,None
230,Data Science - Senior Manager,QRight Solutions,"Chennai, Tamil Nadu",None,None,None,"Up to ₹25,00,000 a year"
231,Sr.Data Scientist,A2Z Jobs Consultancy,"Mohali, Punjab",None,None,None,None
232,Analytics Integration Specialist,Cendyn,"Hybrid remote in Hyderabad, Telangana",None,None,None,None
233,Professor- Data Science for university,Authentic Staffing Agency,"Vadodara, Gujarat",None,None,None,"₹20,000 - ₹55,000 a month"
234,Senior Data Scientist,Cognizant Technology Solutions,"Chennai, Tamil Nadu",None,None,None,None
235,Lead Data Scientist-Retail,Kalibre,"Bengaluru, Karnataka",None,None,None,"₹9,12,675.94 - ₹24,34,624.75 a year"
236,Senior Data Scientist,Lowe's,"Bengaluru, Karnataka",None,None,None,None
237,Machine Learning,Hr Biz Hub,"Indore, Madhya Pradesh",None,None,None,"₹3,00,000 - ₹6,00,000 a year"
238,Manager–Applied Data Scientist,Tesco,"Bengaluru, Karnataka",None,None,None,None
239,Artificial Intelligence Trainer,StatestreetIT,"Coimbatore, Tamil Nadu",None,None,None,"₹30,000 - ₹40,000 a month"
240,Natural Language Processing (NLP) AI Platform Engineer,Accenture,"Chennai, Tamil Nadu",None,None,None,None
241,Machine Learning Operations Application Developer,Accenture,"Bengaluru, Karnataka",None,None,None,None
